Address,Hood,Town,County,Zip,Lat,Lng,Walk Score,Bike Score,Transit Score
"Brandywine Ct, Austin, TX 78727, USA",Lamplight Village,Austin,Travis County,78727,30.4179583,-97.6965203,71,71,29
"Brandywine Ln, Austin, TX 78727, USA",Lamplight Village,Austin,Travis County,78727,30.417395,-97.6965404,73,73,30
"Brass St, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.264524,-97.7040749,73,89,47
"Brazos St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2721751,-97.7398053,91,90,68
"Breeze Terrace, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2865364,-97.7182782,76,94,58
"Brewster St, Austin, TX 78704, USA",Dawson,Austin,Travis County,78704,30.2343361,-97.7597077,76,72,49
"Briar St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2493841,-97.7603724,83,79,52
"Briarcliff Blvd, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.3149465,-97.6942612,71,75,45
"Briardale Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3660629,-97.7139505,79,80,44
"Briarwood Ln, Austin, TX 78757, USA",North Shoal Creek,Austin,Travis County,78757,30.3645425,-97.7340529,71,88,49
"Brickford Cove, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.2099446,-97.8142014,72,84,42
"Brinwood Ave, Austin, TX 78704, USA",Dawson,Austin,Travis County,78704,30.2337221,-97.760215,76,72,49
"Broadway St, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.2544474,-97.7109631,83,98,49
"Brockman St, Austin, TX 78757, USA",UnknownHood,Austin,Travis County,78757,30.3565012,-97.7297239,87,80,51
"Brodie St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2469697,-97.7638769,83,73,50
"Brookfield Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3604228,-97.711904,75,72,47
"Brooklyn St, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2408649,-97.7483047,86,77,50
"Brookside Dr, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.318739,-97.6938156,72,75,45
"Brookview Rd, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.294017,-97.7098019,75,80,49
"Brownlee Cir, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2748149,-97.7582382,91,79,54
"Brushy St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.263631,-97.734359,95,95,58
"Bryan St, Austin, TX 78702, USA",Blackshear-Prospect Hill,Austin,Travis County,78702,30.2669344,-97.7163533,82,78,49
"Bryker Dr, Austin, TX 78703, USA",Old West Austin,Austin,Travis County,78703,30.3046837,-97.7544423,75,87,42
"Buckingham Cir, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2377697,-97.7483135,81,71,49
"Buell Ave, Austin, TX 78757, USA",UnknownHood,Austin,Travis County,78757,30.3640157,-97.7307558,73,84,50
"Burbank St, Austin, TX 78757, USA",Brentwood,Austin,Travis County,78757,30.3410687,-97.7345991,71,81,48
"Burnet Ln, Austin, TX 78757, USA",UnknownHood,Austin,Travis County,78757,30.3426354,-97.737117,81,82,46
"Burnet Rd, Austin, TX 78757, USA",UnknownHood,Austin,Travis County,78757,30.3547942,-97.7316191,87,80,50
"Burns St, Austin, TX 78752, USA",Highland,Austin,Travis County,78752,30.3306219,-97.7215545,76,93,55
"Butler Rd, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2622972,-97.7584077,86,91,60
"Cactus Ln, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.2277415,-97.7915906,76,81,55
"Cll Limon, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.2598388,-97.6958097,73,79,47
"Calles St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2596126,-97.7120742,91,98,48
"Camden Dr, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3569737,-97.7274868,84,78,51
"Campbell St, Austin, TX 78703, USA",UnknownHood,Austin,Travis County,78703,30.2768502,-97.7635919,73,80,43
"Caney St, Austin, TX 78702, USA",Holly,Austin,Travis County,78702,30.2569909,-97.7212825,95,95,47
"Canion St, Austin, TX 78752, USA",Highland,Austin,Travis County,78752,30.3332946,-97.7177547,83,96,56
"Canterbury St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2543816,-97.722866,92,97,47
"Castle Ct, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2772005,-97.7532566,93,82,60
"Castle Hill St, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2783845,-97.7530078,89,84,58
"Castro St, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.2619986,-97.7063125,82,95,47
"Caswell Ave, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.307765,-97.7194354,82,92,52
"Catalpa St, Austin, TX 78702, USA",Central East Austin,Austin,Travis County,78702,30.2715256,-97.7294859,83,81,56
"Cedar St, Austin, TX 78705, USA",North University,Austin,Travis County,78705,30.2986524,-97.736192,86,98,64
"Chalmers Ave, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2587117,-97.7262368,94,90,45
"Charlotte St, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2808374,-97.761134,81,87,42
"Chatham Ave, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.3151843,-97.6927282,73,83,45
"Cherico St, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.261903,-97.7022329,74,89,47
"Cherrywood Rd, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2901451,-97.7145977,76,83,53
"Chicon St, Austin, TX 78722, USA",East Austin,Austin,Travis County,78722,30.2817768,-97.7216503,84,93,59
"Chote Ave, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.2608791,-97.6973788,77,84,46
"Christopher St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2552309,-97.7561496,74,86,57
"Cimarron Trail, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.2277415,-97.7915906,76,81,55
"Clara St, Austin, TX 78702, USA",Holly,Austin,Travis County,78702,30.253804,-97.718119,85,98,48
"Clarewood Cir, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3606283,-97.713626,77,74,47
"Clarewood Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3620821,-97.7132853,78,76,44
"Clarkdale Ln, Austin, TX 78757, USA",North Shoal Creek,Austin,Travis County,78757,30.3628498,-97.7331184,75,86,50
"Clarkson Ave, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.3000049,-97.716744,78,80,50
"Clarkson Ave, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3068846,-97.7161958,84,90,51
"Clawson Rd, Austin, TX 78745, USA",UnknownHood,Austin,Travis County,78745,30.228727,-97.7841043,72,79,52
"Clay Ave, Austin, TX 78756, USA",Brentwood,Austin,Travis County,78756,30.3295055,-97.7386834,85,82,50
"Clermont Ave, Austin, TX 78702, USA",East Cesar Chavez,Austin,Travis County,78702,30.2543501,-97.7351557,80,96,51
"Cliff St, Austin, TX 78705, USA",Central Austin,Austin,Travis County,78705,30.285271,-97.7518245,76,73,54
"Clifford Ave, Austin, TX 78702, USA",Chestnut,Austin,Travis County,78702,30.2793372,-97.7071686,75,91,51
"Cody Ct, Austin, TX 78704, USA",South Lamar,Austin,Travis County,78704,30.2419826,-97.7802207,75,71,45
"Cole St, Austin, TX 78705, USA",Central Austin,Austin,Travis County,78705,30.2878075,-97.7250906,78,97,64
"Coleman St, Austin, TX 78704, USA",Dawson,Austin,Travis County,78704,30.2313011,-97.7598566,82,73,49
"Colfax Ave, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3675073,-97.7267698,74,73,50
"College Ave, Austin, TX 78704, USA",UnknownHood,Austin,Travis County,78704,30.2407581,-97.7527221,94,88,50
"College Row, Austin, TX 78702, USA",Blackshear-Prospect Hill,Austin,Travis County,78702,30.2654205,-97.7201518,92,85,47
"Collier St, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2534057,-97.7686533,84,88,45
"Colonial Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3625258,-97.7141464,81,81,44
"Colony Creek Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3670984,-97.7126741,74,79,43
"Colorado St, Austin, TX 78701, USA",Downtown Austin,Austin,Travis County,78701,30.2724158,-97.7426562,83,90,72
"Columbus St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2545749,-97.756424,74,86,57
"Comal St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2661527,-97.7250912,94,85,48
